year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2023,96750152215.50832,96588297955.24617,87179782977.49991,106830714054.6676,7700152215.508301,7538297955.246171,-1870217022.5000894,17780714054.667603
2024,104453694276.33278,104027489893.37003,89899479089.04378,119432425399.98544,7703542060.824488,7730123606.265413,-2626061313.2340865,18272547912.721592
2025,112625666483.09029,112120702325.37288,94023769945.46375,132492841529.96431,8171972206.757478,8023841554.595416,-2576342589.612064,19788196153.998203
2026,120255219009.65334,120130982714.1664,97779537367.67215,143093169556.5352,7629552526.563061,7623887315.725308,-5307002968.651381,19244185343.48941
2027,128266516042.01993,127549422145.87378,102476681720.2473,156978831575.64627,8011297032.366606,7969847264.215247,-5192211131.417373,21257252412.176033
2028,135766772181.3002,134427426291.54999,106455885437.49025,168845294220.6002,7500256139.280279,7304724018.180366,-6308147073.913307,22477103531.521534
2029,142998527574.3145,142492163680.77875,109179914154.2685,178945266990.85626,7231755393.014307,7435591214.218918,-7627229214.224632,21769859327.855957
2030,149694472421.0089,147495370553.16083,112942858178.0122,192067044237.5906,6695944846.694403,6771769845.448086,-8683023120.546024,22589229366.44746
2031,156252075931.89236,155282602400.27426,116530890377.57953,204053290726.2821,6557603510.883451,6794345850.115623,-9281514497.130775,22283842384.089523
2032,162672711515.64395,160609657388.95715,120075732073.32976,216556359468.96518,6420635583.751571,5790469259.784111,-9813475439.659922,24771280653.5507
2033,168441468607.70056,165626472293.27756,121589988501.83926,226843253435.82626,5768757092.056637,5655191755.56031,-11282517657.176918,24027505824.290207
2034,173647939394.9193,171692196396.8963,120520704154.1677,234700936481.56494,5206470787.218741,5128859240.281816,-13060615262.23958,24949977738.870403
2035,177758800050.2251,175194397284.7447,122026846479.6091,248832752244.51138,4110860655.3057704,4050733342.323531,-13387149101.844374,23388773804.713284
2036,181567839128.91772,175719673294.764,121936934617.46355,260066588676.51196,3809039078.692627,3384246617.0975513,-15627535710.506163,23106513067.190228
2037,184139355261.52084,179310272543.1003,121307488402.45052,264046736915.59607,2571516132.603126,2580959271.174279,-17196110521.93661,23089189394.01277
2038,185252090038.5796,181126853122.94318,117296776583.94656,270838032394.07938,1112734777.0587564,956137091.0121002,-17839595989.028347,21743448502.12788
2039,185754864509.93427,181955815036.7623,113599782834.24413,279542866719.7766,502774471.3546739,388311730.4090096,-20023898313.958965,22152339373.718674
2040,184826874534.75488,179374876649.97504,108684241191.98953,280677817948.6241,-927989975.1793784,-844742039.6706612,-22080345429.022945,19418552145.60434
2041,182635685615.408,176811860836.97366,105719549061.24274,281083249981.61115,-2191188919.3469,-2950111244.217622,-22143493178.036938,18740876901.977947
2042,178878462742.82596,173379114353.64313,97151744687.70497,285117107781.2283,-3757222872.5820317,-4111809576.073656,-23978614912.14618,17395550371.562054
2043,173611801274.64362,166726823969.82324,89342667128.6983,284296651900.04816,-5266661468.1823225,-6434205304.788689,-24179151241.283607,15597362584.152119
2044,167176564567.62582,159311553511.2511,81147813657.16957,281909394949.5299,-6435236707.017815,-7405528817.447545,-23604825405.82513,14265551436.328798
2045,159488313257.8049,151311432650.20056,67878130187.340775,275583489073.8255,-7688251309.820916,-8654070827.788218,-24065557332.31695,12086525711.717678
2046,149427835798.06418,142405145782.318,55184168474.628685,270453178336.28088,-10064528584.771921,-10862604303.377348,-27781822358.28117,10475210760.862076
2047,137482657124.16574,128252725306.68884,39809866635.453674,262425093610.6851,-11981469476.75937,-12677355327.17009,-27298429970.22329,6762182563.893516
2048,124073546003.33353,113709513503.42944,23719930553.242706,254587492041.73343,-13540766040.762629,-14286063152.37548,-28631969233.541294,3604678412.2326045
2049,109456459065.07074,97906867277.04471,5525001392.010922,244625898311.9994,-15002278688.737282,-16151501691.525639,-28073997179.76523,1780474282.2415311
2050,94186470654.89331,81295957553.61813,0.0,233097565556.4383,-16581167563.96637,-18196427681.60791,-29023950736.717327,-1205711666.5663276
2051,78971264753.51715,64418487445.48044,0.0,221345945453.92426,-18133900086.87118,-19887967628.246155,-28558856654.048912,-4402060058.828095
2052,64347426984.55032,42065255137.795334,0.0,204818629731.89105,-19630150346.143642,-21536087170.491966,-28612509478.883842,-5306773624.913514
2053,51505393493.66127,21244981478.143723,0.0,194005640073.9707,-20650330343.91282,-22849316422.511734,-27570571555.265045,-8947073102.829716
2054,39915700537.77204,0.0,0.0,175246680122.09027,-22486768134.11908,-23927000713.6596,-27661270406.930298,-13080956824.776005
2055,30221257303.421017,0.0,0.0,157158845998.98608,-23974742338.035995,-25033034424.397064,-28090110927.87966,-15500935733.435642
2056,22728086320.06129,0.0,0.0,134845845129.9062,-25316062280.376953,-26155300355.21071,-28777836385.932053,-18125399197.78662
2057,16878054871.184288,0.0,0.0,107949772685.84451,-26656766643.963444,-27305962876.15051,-29076813226.724094,-21598240841.02885
2058,12274766316.79928,0.0,0.0,87873308015.47932,-27958162304.83937,-28449378887.57255,-29058784407.835823,-23474361600.292675
2059,8849034162.697807,0.0,0.0,59174420368.938866,-29158372098.7336,-29589780651.830143,-29643941729.098797,-26809265794.592613
2060,6441397579.507355,0.0,0.0,29931468733.47342,-30376541480.601456,-30728880272.890556,-30728880272.890556,-29593328018.71388
2061,4760053687.771773,0.0,0.0,87702251.00260845,-31028314182.861115,-31205338743.68855,-31205338743.68855,-31205338743.68855
2062,3563075344.9496655,0.0,0.0,0.0,-31583486205.54507,-31664252880.835716,-31664252880.835716,-31664252880.835716
2063,2675573070.268302,0.0,0.0,0.0,-31974794074.47993,-32108126055.631664,-32108126055.631664,-32108126055.631664
2064,2000163426.0339072,0.0,0.0,0.0,-32449691919.93407,-32539197282.197815,-32539197282.197815,-32539197282.197815
2065,1462010843.4376178,0.0,0.0,0.0,-32886696828.914997,-32959626195.62267,-32959626195.62267,-32959626195.62267
2066,1088380310.3579218,0.0,0.0,0.0,-33337657951.73585,-33344880742.697975,-33344880742.697975,-33344880742.697975
2067,902595178.2521573,0.0,0.0,0.0,-33660346627.474514,-33722833254.66849,-33722833254.66849,-33722833254.66849
2068,760086675.9943738,0.0,0.0,0.0,-34059063088.71681,-34095351232.162384,-34095351232.162384,-34095351232.162384
2069,609560827.7125491,0.0,0.0,0.0,-34471694454.02597,-34464197662.77535,-34464197662.77535,-34464197662.77535
2070,533941761.0204769,0.0,0.0,0.0,-34767290882.87584,-34830995799.3813,-34830995799.3813,-34830995799.3813
2071,398786987.06555086,0.0,0.0,0.0,-34875896666.34914,-34834152201.29512,-34834152201.29512,-34834152201.29512
2072,373765628.4259999,0.0,0.0,0.0,-34792787166.65366,-34802568376.3905,-34802568376.3905,-34802568376.3905
2073,368595405.3594705,0.0,0.0,0.0,-34706390933.209915,-34735956666.81021,-34735956666.81021,-34735956666.81021
2074,310910666.99678224,0.0,0.0,0.0,-34695835431.10486,-34672823516.25843,-34672823516.25843,-34672823516.25843
2075,297626360.8904371,0.0,0.0,0.0,-34598409388.33781,-34619744827.05851,-34619744827.05851,-34619744827.05851
2076,271095922.54987997,0.0,0.0,0.0,-34570113055.824684,-34578160778.262405,-34578160778.262405,-34578160778.262405
2077,257297669.03830847,0.0,0.0,0.0,-34524012591.74371,-34544759097.32947,-34544759097.32947,-34544759097.32947
2078,221662774.392283,0.0,0.0,0.0,-34517487698.42151,-34516369172.94843,-34516369172.94843,-34516369172.94843
2079,177123554.2892426,0.0,0.0,0.0,-34499972486.77745,-34489923189.86428,-34489923189.86428,-34489923189.86428
2080,145794527.79722834,0.0,0.0,0.0,-34459347729.95759,-34462481184.65023,-34462481184.65023,-34462481184.65023
2081,120184583.05869435,0.0,0.0,0.0,-34421701076.27687,-34430521653.19153,-34430521653.19153,-34430521653.19153
2082,93756261.71829861,0.0,0.0,0.0,-34383314995.78033,-34391277952.39232,-34391277952.39232,-34391277952.39232
2083,58120267.38910947,0.0,0.0,0.0,-34343345502.163837,-34342051559.394043,-34342051559.394043,-34342051559.394043
2084,23536354.315853372,0.0,0.0,0.0,-34271560211.550247,-34271247546.02302,-34271247546.02302,-34271247546.02302
2085,0.0,0.0,0.0,0.0,-34189440724.47789,-34189771240.250736,-34189771240.250736,-34189771240.250736
2086,0.0,0.0,0.0,0.0,-34095334535.913876,-34095334535.913868,-34095334535.913868,-34095334535.913868
2087,0.0,0.0,0.0,0.0,-33985656652.575375,-33985656652.57538,-33985656652.57538,-33985656652.57538
2088,0.0,0.0,0.0,0.0,-33858456127.166317,-33858456127.16631,-33858456127.16631,-33858456127.16631
2089,0.0,0.0,0.0,0.0,-33582125729.87213,-33582125729.872147,-33582125729.872147,-33582125729.872147
2090,0.0,0.0,0.0,0.0,-33326948559.598557,-33326948559.59855,-33326948559.59855,-33326948559.59855
2091,0.0,0.0,0.0,0.0,-33088785754.951736,-33088785754.951748,-33088785754.951748,-33088785754.951748
2092,0.0,0.0,0.0,0.0,-32865108401.44789,-32865108401.447906,-32865108401.447906,-32865108401.447906
2093,0.0,0.0,0.0,0.0,-32653956793.871456,-32653956793.871445,-32653956793.871445,-32653956793.871445
